tenure_months,monthly_charges,total_charges,age,credit_score,support_tickets,login_frequency,avg_session_duration,payment_delay_days,contract_length_months,num_dependents,international_plan,voice_mail_plan,data_usage_gb,roaming_charges,device_protection,paperless_billing,num_referrals,churn_target
62.0,63.12,4028.1,32,652,0,-3.102800801198028,5.582191522677031,6,4.478272658306883,2,0,0,0.9072555617792871,-7.034755434960637,1,0,5,0
9.0,70.25,615.83,61,691,0,5.025054093254297,-1.5722940706159665,7,-0.2201583282225107,2,0,1,-1.8981031658506606,2.1568719548250916,1,1,3,0
41.0,118.41,5221.17,20,650,4,-6.069429960328854,7.991846014241858,4,2.410352012073535,1,0,0,-2.1029864392378887,-5.808922764538286,1,0,1,0
27.0,73.31,2014.53,42,725,4,0.36397870701470036,2.1924941689713653,12,2.0360033030646356,1,1,0,-0.16455713176019252,-1.496705348641978,0,1,1,1
57.0,89.97,5087.1,39,598,3,-3.5980514261103447,2.5236284417139903,6,1.671937619308857,1,1,0,-0.6202640790397012,-3.473985335521971,1,0,2,0
57.0,44.32,2657.04,40,649,2,-2.9830958698698717,0.2547003530022652,4,1.374157044301029,1,0,0,-0.024175209770042082,-3.628637338491446,1,0,0,1
11.0,99.97,1086.32,43,820,0,-4.4252390783051565,1.3603439173830925,2,1.64237231336499,1,0,0,-0.9860984034202479,-4.246923310012024,1,0,0,1
13.0,67.46,940.08,51,757,1,-0.42237002702538556,-5.623848205252767,7,-4.164010823657043,1,0,1,0.608579932347221,-1.2721392603014972,1,1,1,1
37.0,32.13,1177.68,44,574,0,3.3514651710503225,2.8609403789457164,5,0.8577351246020836,1,0,1,-0.14202161796285884,-1.0311098920477855,0,0,1,1
37.0,105.97,3593.18,68,599,1,2.533734945108784,-6.965050488843278,6,2.8087690101587963,1,0,1,2.1698070278561543,7.440104564212611,0,1,5,0
61.0,67.57,3721.25,45,509,1,3.8129003961760866,1.1807962834587251,3,1.0461619482153117,2,0,1,-1.0160229592371257,5.900419389355959,0,1,3,0
48.0,84.49,4117.85,22,657,1,0.3748657895063624,3.543281412269238,1,1.4303294141072351,1,1,1,-1.389915033596411,-1.09473346027097,0,0,3,0
72.0,72.31,4793.65,27,501,0,2.0766632713648163,7.242479414032565,1,3.7300640991886005,1,0,1,1.1346566091250057,-0.23987328929109644,1,0,7,0
7.0,92.37,611.08,24,777,1,2.9510433398555165,6.227822536725005,0,0.6834823949556343,3,0,1,-0.6531590020798669,0.9897247589896868,0,0,5,0
